B,S,p,nu,Q,aQB,mAQ
1000,50,1637,1,1637,2469,-50
1000,50,1657,1,1657,2449,-50
1000,50,1663,1,1663,2443,-50
1000,50,1667,1,1667,2439,-50
1000,50,1669,1,1669,2437,-50
1000,50,1693,1,1693,2413,-50
1000,50,1697,1,1697,2409,-50
1000,50,1699,1,1699,2407,-50
1000,50,1709,1,1709,2397,-50
1000,50,1721,1,1721,2385,-50
1000,50,1723,1,1723,2383,-50
1000,50,1733,1,1733,2373,-50
1000,50,1741,1,1741,2365,-50
1000,50,1747,1,1747,2359,-50
1000,50,1753,1,1753,2353,-50
1000,50,1759,1,1759,2347,-50
1000,50,1777,1,1777,2329,-50
1000,50,1783,1,1783,2323,-50
1000,50,1787,1,1787,2319,-50
1000,50,1789,1,1789,2317,-50
1000,50,1801,1,1801,2305,-50
1000,50,1811,1,1811,2295,-50
1000,50,1823,1,1823,2283,-50
1000,50,1831,1,1831,2275,-50
1000,50,1847,1,1847,2259,-50
1000,50,1861,1,1861,2245,-50
1000,50,1867,1,1867,2239,-50
1000,50,1871,1,1871,2235,-50
1000,50,1873,1,1873,2233,-50
1000,50,1877,1,1877,2229,-50
1000,50,1879,1,1879,2227,-50
1000,50,1889,1,1889,2217,-50
1000,50,1901,1,1901,2205,-50
1000,50,1907,1,1907,2199,-50
1000,50,1913,1,1913,2193,-50
1000,50,1931,1,1931,2175,-50
1000,50,1933,1,1933,2173,-50
1000,50,1949,1,1949,2157,-50
1000,50,1951,1,1951,2155,-50
1000,50,1973,1,1973,2133,-50
1000,50,1979,1,1979,2127,-50
1000,50,1987,1,1987,2119,-50
1000,50,1993,1,1993,2113,-50
1000,50,1997,1,1997,2109,-50
1000,50,1999,1,1999,2107,-50
1000,50,2003,1,2003,2098,-54
1000,50,2011,1,2011,2074,-66
1000,50,2017,1,2017,2056,-75
1000,50,2027,1,2027,2026,-90
1000,50,2029,1,2029,2020,-93
1000,50,2039,1,2039,2000,-103
1000,50,2053,1,2053,2000,-100
1000,50,2063,1,2063,2000,-100
1000,50,2069,1,2069,2000,-100
1000,50,2081,1,2081,2000,-100
1000,50,2083,1,2083,2000,-100
1000,50,2087,1,2087,2000,-100
1000,50,2089,1,2089,2000,-100
1000,50,2099,1,2099,2000,-100
1000,50,2111,1,2111,2000,-100
1000,50,2113,1,2113,2000,-100
1000,50,2129,1,2129,2000,-100
1000,50,2131,1,2131,2000,-100
1000,50,2137,1,2137,2000,-100
1000,50,2141,1,2141,2000,-100
1000,50,2143,1,2143,2000,-100
1000,50,2153,1,2153,2000,-100
1000,50,2161,1,2161,2000,-100
1000,50,2179,1,2179,2000,-100
1000,50,2203,1,2203,2000,-100
1000,50,2207,1,2207,2000,-100
1000,50,2213,1,2213,2000,-100
1000,50,2221,1,2221,2000,-100
1000,50,2237,1,2237,2000,-100
1000,50,2239,1,2239,2000,-100
1000,50,2243,1,2243,2000,-100
1000,50,2251,1,2251,2000,-100
1000,50,2267,1,2267,2000,-100
1000,50,2269,1,2269,2000,-100
1000,50,2273,1,2273,2000,-100
1000,50,2281,1,2281,2000,-100
1000,50,2287,1,2287,2000,-100
1000,50,2293,1,2293,2000,-100
1000,50,2297,1,2297,2000,-100
1000,50,2309,1,2309,2000,-100
1000,50,2311,1,2311,2000,-100
1000,50,2333,1,2333,2000,-100
1000,50,2339,1,2339,2000,-100
1000,50,2341,1,2341,2000,-100
1000,50,2347,1,2347,2000,-100
1000,50,2351,1,2351,2000,-100
1000,50,2357,1,2357,2000,-100
1000,50,2371,1,2371,2000,-100
1000,50,2377,1,2377,2000,-100
1000,50,2381,1,2381,2000,-100
1000,50,2383,1,2383,2000,-100
1000,50,2389,1,2389,2000,-100
1000,50,2393,1,2393,2000,-100
1000,50,2399,1,2399,2000,-100
1000,50,2411,1,2411,2000,-100
1000,50,2417,1,2417,2000,-100
1000,50,2423,1,2423,2000,-100
1000,50,2437,1,2437,2000,-100
1000,50,2441,1,2441,2000,-100
1000,50,2447,1,2447,2000,-100
1000,50,2459,1,2459,2000,-100
1000,50,2467,1,2467,2000,-100
1000,50,2473,1,2473,2000,-100
1000,50,2477,1,2477,2000,-100
1000,50,2503,1,2503,2000,-100
1000,50,2521,1,2521,2000,-100
1000,50,2531,1,2531,2000,-100
1000,50,2539,1,2539,2000,-100
1000,50,2543,1,2543,2000,-100
1000,50,2549,1,2549,2000,-100
1000,50,2551,1,2551,2000,-100
1000,50,2557,1,2557,2000,-100
1000,50,2579,1,2579,2000,-100
1000,50,2591,1,2591,2000,-100
1000,50,2593,1,2593,2000,-100
1000,50,2609,1,2609,2000,-100
1000,50,2617,1,2617,2000,-100
1000,50,2621,1,2621,2000,-100
1000,50,2633,1,2633,2000,-100
1000,50,2647,1,2647,2000,-100
1000,50,2657,1,2657,2000,-100
1000,50,2659,1,2659,2000,-100
1000,50,2663,1,2663,2000,-100
1000,50,2671,1,2671,2000,-100
1000,50,2677,1,2677,2000,-100
1000,50,2683,1,2683,2000,-100
1000,50,2687,1,2687,2000,-100
1000,50,2689,1,2689,2000,-100
1000,50,2693,1,2693,2000,-100
1000,50,2699,1,2699,2000,-100
1000,50,2707,1,2707,2000,-100
1000,50,2711,1,2711,2000,-100
1000,50,2713,1,2713,2000,-100
1000,50,2719,1,2719,2000,-100
1000,50,2729,1,2729,2000,-100
1000,50,2731,1,2731,2000,-100
1000,50,2741,1,2741,2000,-100
1000,50,2749,1,2749,2000,-100
1000,50,2753,1,2753,2000,-100
1000,50,2767,1,2767,2000,-100
1000,50,2777,1,2777,2000,-100
1000,50,2789,1,2789,2000,-100
1000,50,2791,1,2791,2000,-100
1000,50,2797,1,2797,2000,-100
1000,50,2801,1,2801,2000,-100
1000,50,2803,1,2803,2000,-100
1000,50,2819,1,2819,2000,-100
1000,50,2833,1,2833,2000,-100
1000,50,2837,1,2837,2000,-100
1000,50,2843,1,2843,2000,-100
1000,50,2851,1,2851,2000,-100
1000,50,2857,1,2857,2000,-100
1000,50,2861,1,2861,2000,-100
1000,50,2879,1,2879,2000,-100
1000,50,2887,1,2887,2000,-100
1000,50,2897,1,2897,2000,-100
1000,50,2903,1,2903,2000,-100
1000,50,2909,1,2909,2000,-100
1000,50,2917,1,2917,2000,-100
1000,50,2927,1,2927,2000,-100
1000,50,2939,1,2939,2000,-100
1000,50,2953,1,2953,2000,-100
1000,50,2957,1,2957,2000,-100
1000,50,2963,1,2963,2000,-100
